-225,-200
-222.35,-198.591
-219.701,-197.182
-217.051,-195.774
-214.401,-194.365
-211.752,-192.956
-209.032,-191.691
-206.29,-190.471
-203.549,-189.25
-200.807,-188.03
-198.065,-186.809
-195.282,-185.692
-192.462,-184.666
-189.642,-183.639
-186.822,-182.613
-184.002,-181.586
-181.163,-180.62
-178.278,-179.793
-175.393,-178.966
-172.509,-178.138
-169.624,-177.311
-166.736,-176.498
-163.801,-175.874
-160.865,-175.25
-157.93,-174.626
-154.994,-174.002
-152.059,-173.378
-149.093,-172.926
-146.122,-172.508
-143.15,-172.091
-140.178,-171.673
-137.206,-171.255
-134.222,-170.963
-131.228,-170.753
-128.234,-170.544
-125.241,-170.335
-122.247,-170.125
-119.251,-169.993
-116.25,-169.993
-113.249,-169.993
-110.248,-169.993
-107.247,-169.993
-104.247,-170.021
-101.253,-170.23
-98.26,-170.44
-95.266,-170.649
-92.272,-170.858
-89.279,-171.068
-86.305,-171.465
-83.333,-171.882
-80.361,-172.3
-77.39,-172.718
-74.418,-173.135
-71.47,-173.691
-68.535,-174.314
-65.6,-174.938
-62.664,-175.562
-59.729,-176.186
-56.815,-176.898
-53.931,-177.726
-51.046,-178.553
-48.161,-179.38
-45.277,-180.207
-42.405,-181.074
-39.585,-182.101
-36.765,-183.127
-33.945,-184.153
-31.125,-185.18
-28.305,-186.206
-25.561,-187.42
-22.82,-188.641
-20.078,-189.862
-17.337,-191.082
-14.595,-192.303
-11.921,-193.662
-9.271,-195.071
-6.622,-196.479
-3.972,-197.888
-1.322,-199.297
1.326,-200.709
3.972,-202.124
6.619,-203.538
9.266,-204.953
11.912,-206.367
14.611,-207.677
17.344,-208.916
20.077,-210.154
22.811,-211.393
25.544,-212.631
28.33,-213.745
31.138,-214.802
33.947,-215.859
36.755,-216.916
39.564,-217.973
42.422,-218.885
45.294,-219.756
48.1165,-220.627
51.037,-221.498
53.909,-222.37
56.825,-223.075
59.748,-223.756
62.67,-224.437
65.593,-225.119
68.515,-225.8
71.475,-226.295
74.436,-226.784
77.397,-227.273
80.358,-227.762
83.32,-228.238
86.307,-228.532
89.293,-228.826
92.28,-229.121
95.266,-229.415
98.255,-229.678
101.254,-229.776
104.253,-229.875
107.253,-229.973
110.252,-230.071
113.251,-230.12
116.251,-230.022
119.25,-229.924
122.249,-229.825
125.249,-229.727
128.244,-229.562
131.23,-229.267
134.217,-228.973
137.203,-228.679
140.19,-228.385
143.165,-228.006
146.126,-227.517
149.087,-227.028
152.047,-226.539
155.008,-226.05
157.949,-225.459
160.871,-224.778
163.794,-224.096
166.716,-223.415
169.639,-222.733
172.53,-221.933
175.402,-221.062
178.273,-220.191
181.145,-219.32
184.017,-218.449
186.843,-217.444
189.652,-216.387
192.46,-215.33
195.269,-214.273
198.077,-213.215
200.825,-212.011
203.558,-210.772
206.292,-209.534
209.025,-208.295
211.759,-207.057
214.414,-205.659
217.06,-204.244
219.707,-202.829
222.353,-201.415
225,-200
