-5.11, -5, -5.11022, -5
-3.65, -5, -3.64955, -5
-6.43, -5, -6.432, -5
-4.67, -5, -4.67066, -5
-5.33, -5, -5.33066, -5
-6.22, -5, -6.222, -5
-2.31, -5, -2.29948, -5
-7.1, -5, -7.102, -5
-4, -5, -4.002, -5
-5.74, -5, -5.74148, -5
-8.49, -5, -8.49151, -5
-9.29, -5, -9.29071, -5
-5.22, -5, -5.22044, -5
-5.81, -5, -5.81162, -5
-4.32, -5, -4.32136, -5
-9.2, -5, -9.2008, -5
-3.21, -5, -3.20647, -5
-9.29, -5, -9.29071, -5
-9.34, -5, -9.34066, -5
-1.64, -5, -1.62484, -5
-6.88, -5, -6.882, -5
-1.45, -5, -1.4337, -5
-4.67, -5, -4.67066, -5
-3.92, -5, -3.92144, -5
-5.19, -5, -5.19038, -5
-5.82, -5, -5.82164, -5
-7.38, -5, -7.382, -5
-4.19, -5, -4.19162, -5
-0.69, -5, -0.66914, -5
-8.07, -5, -8.07193, -5
-7.11, -5, -7.112, -5
-6.36, -5, -6.362, -5
-7.38, -5, -7.382, -5
-8.6, -5, -8.6014, -5
-6.82, -5, -6.822, -5
-8.21, -5, -8.21179, -5
-0.97, -5, -0.95082, -5
-3.14, -5, -3.13598, -5
-1.68, -5, -1.66508, -5
-2.3, -5, -2.2894, -5
-1.12, -5, -1.10172, -5
-1.18, -5, -1.16208, -5
-2.4, -5, -2.3902, -5
-4.01, -5, -4.01198, -5
-5.4, -5, -5.4008, -5
-9.15, -5, -9.15085, -5
-8.62, -5, -8.62138, -5
-6.65, -5, -6.652, -5
-7.36, -5, -7.362, -5
-0.58, -5, -0.55848, -5
-5.82, -5, -5.82164, -5
-2.76, -5, -2.75308, -5
-4.26, -5, -4.26148, -5
-7.96, -5, -7.962, -5
-1.96, -5, -1.94676, -5
-3.59, -5, -3.58913, -5
-1.11, -5, -1.09166, -5
-3.03, -5, -3.02521, -5
-8.97, -5, -8.97103, -5
-3.51, -5, -3.50857, -5
-0.9, -5, -0.8804, -5
-5.07, -5, -5.07014, -5
-2.15, -5, -2.1382, -5
-4.35, -5, -4.3513, -5
-2.19, -5, -2.17852, -5
-0.76, -5, -0.73956, -5
-1.04, -5, -1.02124, -5
-9.1, -5, -9.1009, -5
-9.46, -5, -9.46054, -5
-1.03, -5, -1.01118, -5
-5.8, -5, -5.8016, -5
-2.82, -5, -2.81356, -5
-6.84, -5, -6.842, -5
-1.9, -5, -1.8864, -5
-7.82, -5, -7.822, -5
-8.44, -5, -8.44156, -5
-4.98, -5, -4.98004, -5
-2.56, -5, -2.55148, -5
-1.8, -5, -1.7858, -5
-4.94, -5, -4.94012, -5
-5.57, -5, -5.57114, -5
-4.22, -5, -4.22156, -5
-9.38, -5, -9.38062, -5
-4.2, -5, -4.2016, -5
-5.44, -5, -5.44088, -5
-1.59, -5, -1.57454, -5
-2.63, -5, -2.62204, -5
-3.15, -5, -3.14605, -5
-2.23, -5, -2.21884, -5
-7.63, -5, -7.632, -5
-5.7, -5, -5.7014, -5
-2.66, -5, -2.65228, -5
-3.2, -5, -3.1964, -5
-1.58, -5, -1.56448, -5
-2.71, -5, -2.70268, -5
-1.41, -5, -1.39346, -5
